No.,URL,観光地名,最初の画像のURL,緯度,経度,エリア名,カテゴリー,条件,タグ,季節情報,開催期間,基本情報の備考欄,分類
1761,https://niigata-kankou.or.jp/spot/11411,二居共同浴場 「宿場の湯」,https://niigata-kankou.or.jp/image/rendering/attraction_image/129585/trim.900/3/2?v=2564791f71a08423b5cfe1327447f23b85a4fd64,36.84344276278176,138.7789489762962,湯沢・魚沼エリア,"温泉・サウナ,日帰り温泉",ユニバーサルデザイン情報有,情報なし,情報がありません,情報がありません,【泉質】単純温泉,温泉・サウナ
1762,https://niigata-kankou.or.jp/spot/11410,土樽共同浴場 「岩の湯」,https://niigata-kankou.or.jp/image/rendering/attraction_image/129589/trim.900/3/2?v=14f0da89119e41546206076cb761bd1fda99e502,36.91685371705195,138.83800398912723,湯沢・魚沼エリア,"温泉・サウナ,日帰り温泉",ユニバーサルデザイン情報有,情報なし,情報がありません,情報がありません,【泉質】アルカリ性単純温泉,温泉・サウナ
1763,https://niigata-kankou.or.jp/spot/11409,下湯沢共同浴場 「駒子の湯」,https://niigata-kankou.or.jp/image/rendering/attraction_image/129586/trim.900/3/2?v=38a8d4763286fa0e95fb28c80af0d117effaa543,36.94373177352575,138.80472313967377,湯沢・魚沼エリア,"温泉・サウナ,日帰り温泉",情報なし,情報なし,情報がありません,情報がありません,【泉質】ナトリウム・カルシウム塩化物温泉,温泉・サウナ
1765,https://niigata-kankou.or.jp/spot/11406,江神温泉浴場,https://niigata-kankou.or.jp/image/rendering/attraction_image/129610/trim.900/3/2?v=00e33afee1f9895a7bdca812aac4c30dfe7b662e,36.93706236948112,138.81148048084341,湯沢・魚沼エリア,"温泉・サウナ,日帰り温泉",ユニバーサルデザイン情報有,情報なし,情報がありません,情報がありません,【泉質】単純温泉（低張性弱アルカリ性温泉）,温泉・サウナ
1785,https://niigata-kankou.or.jp/spot/42689,相川温泉 いさりびの宿 道遊,https://niigata-kankou.or.jp/image/rendering/attraction_image/122035/trim.900/3/2?v=bc817085c8984d39e8ccc1fbdae79cdf3caff62e,38.0199175,138.22519899999998,情報なし,温泉・宿・サウナ,情報なし,相川温泉,情報がありません,情報がありません,他路線バスからのアクセス：本線・海府線、「相川」バス停から徒歩約20分。佐渡産品提供店（サドメシラン）認定店,温泉・サウナ
1787,https://niigata-kankou.or.jp/spot/5622,青山水道遊園,https://niigata-kankou.or.jp/image/rendering/attraction_image/121990/trim.900/3/2?v=662be829cca429d16e28f9f6c2c31f09b646ab7c,37.89156144,138.9971892,新潟・阿賀エリア,"動植物園・水族館,川・滝・湖",情報なし,情報なし,情報がありません,情報がありません,情報がありません,動植物園・水族館
1792,https://niigata-kankou.or.jp/spot/5552,新潟市南区の果樹園【桃の花の名所】,https://niigata-kankou.or.jp/image/rendering/attraction_image/121804/trim.900/3/2?v=4772c0631dc6f335ded5080c8257857d512b0303,37.718862,139.000214,新潟・阿賀エリア,"フルーツ・野菜収穫,新潟県の桜・お花見ガイド",情報なし,情報なし,情報がありません,情報がありません,情報がありません,フルーツ・野菜収穫
1793,https://niigata-kankou.or.jp/spot/5551,新潟市南区の果樹園【梨の花の名所】,https://niigata-kankou.or.jp/image/rendering/attraction_image/121803/trim.900/3/2?v=2700ba4985e07629265158807617f5ec507a8955,37.815582,139.059985,新潟・阿賀エリア,"フルーツ・野菜収穫,新潟県の桜・お花見ガイド,花・木",情報なし,情報なし,情報がありません,情報がありません,情報がありません,フルーツ・野菜収穫
1794,https://niigata-kankou.or.jp/spot/5545,月潟の類産ナシ,https://niigata-kankou.or.jp/image/rendering/attraction_image/121802/trim.900/3/2?v=f2e8a448e0fa0afa09099fdb17165102d4e6e169,37.720848,138.992629,新潟・阿賀エリア,"フルーツ・野菜収穫,絶景・景勝地・天然記念物,おみやげ",情報なし,情報なし,情報がありません,情報がありません,"国指定天然記念物
（昭和16年11月13日指定）",フルーツ・野菜収穫
1810,https://niigata-kankou.or.jp/spot/13543,南魚沼温泉郷,https://niigata-kankou.or.jp/image/rendering/attraction_image/4300/trim.900/3/2?v=254f28cba9a1694f80dd50d2fd29e9e270bbb7e1,37.06251401,138.883702,湯沢・魚沼エリア,温泉・宿・サウナ,"夫婦, 女性",情報なし,情報がありません,通年,情報がありません,温泉・サウナ
1832,https://niigata-kankou.or.jp/spot/11354,中央コミュニティーセンター,https://niigata-kankou.or.jp/image/rendering/attraction_image/82748/trim.900/3/2?v=44b2f79e3edd14b2344a60f7bd215ebb85b389f1,37.6578,139.05962,弥彦・燕三条エリア,温泉・サウナ,情報なし,情報なし,情報がありません,情報がありません,情報がありません,温泉・サウナ
1833,https://niigata-kankou.or.jp/spot/11351,七谷コミュニティーセンター,https://niigata-kankou.or.jp/image/rendering/attraction_image/82756/trim.900/3/2?v=6a37018989297317b01715566dd2845e43a737aa,37.619976,139.103179,弥彦・燕三条エリア,温泉・サウナ,情報なし,情報なし,情報がありません,情報がありません,情報がありません,温泉・サウナ
1843,https://niigata-kankou.or.jp/spot/43392,牧ふるさと村 自然と憩の森,https://niigata-kankou.or.jp/image/rendering/attraction_image/93377/trim.900/3/2?v=2db997a5bbbecce1ea8c9935d90bf5cdd90101a2,37.0920786536732,138.37076966564143,妙高・上越・糸魚川エリア,観光施設,情報なし,情報なし,情報がありません,情報がありません,情報がありません,観光施設
1845,https://niigata-kankou.or.jp/spot/43322,東桂苑オフィス,https://niigata-kankou.or.jp/image/rendering/attraction_image/89877/trim.900/3/2?v=c6318112770e210200341fbfc32ed2ee98926f1f,38.0905171,139.5664702,村上・新発田エリア,観光施設,情報なし,情報なし,情報がありません,情報がありません,情報がありません,観光施設
1852,https://niigata-kankou.or.jp/spot/42532,幸丸展示館,https://niigata-kankou.or.jp/image/rendering/attraction_image/64870/trim.900/3/2?v=6d6eedf9abd82a2ccadaafaf6c2fc59d6d75297a,37.8146192,138.27895290000004,佐渡エリア,観光施設,情報なし,情報なし,情報がありません,情報がありません,情報がありません,観光施設
1857,https://niigata-kankou.or.jp/spot/7072,（株）松乃井酒造場／「松乃井」,https://niigata-kankou.or.jp/image/rendering/attraction_image/1909/trim.900/3/2?v=906980915ddd90aa659df2834646174eeacb899f,37.176595,138.747912,湯沢・魚沼エリア,"地酒・地ビール・ワイン,おみやげ,酒蔵見学",情報なし,情報なし,情報がありません,情報がありません,情報がありません,酒蔵見学
1937,https://niigata-kankou.or.jp/spot/11632,スカイトピア遊ランド 体験交流センター,https://niigata-kankou.or.jp/image/rendering/attraction_image/36311/trim.900/3/2?v=ce07546b91feadde03c832cf409b7179f7a4af3b,37.2083245,138.486264,妙高・上越・糸魚川エリア,"日帰り温泉,温泉・サウナ",情報なし,情報なし,情報がありません,情報がありません,情報がありません,温泉・サウナ
1972,https://niigata-kankou.or.jp/spot/7200,ゴールドパーク鳴海（鳴海金山）,https://niigata-kankou.or.jp/image/rendering/attraction_image/2053/trim.900/3/2?v=4c348da25a3454399d8aeb1d459e5eec210be7f0,38.37598636,139.6950609,村上・新発田エリア,"観光施設, 歴史・文化, 遊ぶ",情報なし,情報なし,情報がありません,情報がありません,"●ゴールドパーク鳴海までの道程（朝日スーパーライン または 高根集落～林道平床線）は、道路状況により閉鎖・通行止めになる場合があります。お出掛けになる前に、朝日支所 産業建設課 または ホームページ等でご確認ください。_x000D_
●受付から金山までは15～20分程度、山道を歩きます。 ヒール等の歩きにくい靴での来場はご遠慮ください。※坑道内は水たまりの個所もあります",観光施設
